analysis_family,suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,evidence_type,source_file,attack_type,client_count
expanded_sensitivity,adversarial,,B6-B0,equalized_odds_gap,5,-0.0635730002768965,-1.2419070840890063,-0.8666666666666667,-2.7769886617615653,0.0499721997160134,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
expanded_sensitivity,adversarial,,B6-B0,subgroup_accuracy_gap,5,0.0610785467469035,1.183270741158262,0.8666666666666667,2.6458738130164328,0.0572279055514001,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,random_weights,
expanded_sensitivity,adversarial,,B6-B0,accuracy,5,-0.0037981407702523,-0.1623822898169064,-0.2,-0.3630978383726747,0.7349064075648866,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
expanded_sensitivity,adversarial,,B6-B0,macro_f1,5,-0.0590398567018293,-0.380789503782425,-0.4666666666666667,-0.8514712155759155,0.4424814736144897,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
expanded_sensitivity,adversarial,,B6-B0,demographic_parity_gap,5,-0.0911420277828801,-0.4477668534922292,-0.3333333333333333,-1.0012371224798136,0.373370167108208,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
expanded_sensitivity,adversarial,,B6-B0,equal_opportunity_gap,5,-0.091916435657364,-0.685143348568628,-0.8666666666666667,-1.5320271017312854,0.20027863775109,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
expanded_sensitivity,adversarial,,B6-B0,equalized_odds_gap,5,-0.0933387403375544,-0.6336969210527836,-0.8666666666666667,-1.416989392606342,0.2294453904316708,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
expanded_sensitivity,adversarial,,B6-B0,subgroup_accuracy_gap,5,-0.0118842552439649,-0.2281836518889283,-0.0666666666666666,-0.5102341569777922,0.6367537397972285,7.0,1.0,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,sign_flip,
fairfed_scaling,adult,iid,B5-B0,accuracy,10,0.0002191235059761,0.6115073538398079,0.6181818181818182,1.933756044076305,0.085158052347121,10.5,0.091796875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
fairfed_scaling,adult,iid,B5-B0,macro_f1,10,0.0008730614032777,0.5755706061094781,0.5636363636363636,1.8201140695495763,0.1020847860353557,12.0,0.130859375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/fairfed-scaling-analysis/paired_tests.csv,,
