scenario_id,seed,client_count,partition,policy_profile,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,2,updated,4,6,0.4,0.7622099447513813,0.47495022223142436,0.01196855566221804,0.018026512147758703,0.018026512147758703,0.18863171048890337
threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,3,updated,5,5,0.5,0.7659668508287293,0.4973151010499477,0.02170121015866564,0.03316203880039713,0.03316203880039713,0.1840790199648994
threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,4,updated,5,5,0.5,0.7679558011049724,0.5113784921590195,0.029171000758521786,0.04594356646456825,0.04594356646456825,0.18113495715822625
threshold_sensitivity,7006,10,joint_dirichlet_0.3,lenient,B3,5,updated,5,5,0.5,0.7706077348066298,0.5227406298874644,0.033042492372444,0.054554082658457854,0.054554082658457854,0.177209540082662
threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,1,updated,4,6,0.4,0.767292817679558,0.506985797048035,0.026226937951848574,0.03968704925914594,0.03968704925914594,0.18211631142711726
threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,2,updated,3,7,0.3,0.7615469613259669,0.4723431273218507,0.010987201393326968,0.014898253545047549,0.014898253545047549,0.1896130647577945
threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,3,updated,4,6,0.4,0.7633149171270718,0.483709707059704,0.0175295631859341,0.029496793691032946,0.029496793691032946,0.1869961200407516
threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,4,updated,3,7,0.3,0.7624309392265194,0.4758165193214718,0.012295673751848394,0.019069265015329094,0.019069265015329094,0.188304592399273
threshold_sensitivity,7006,10,joint_dirichlet_0.3,submitted,B3,5,updated,3,7,0.3,0.7622099447513813,0.47495022223142436,0.01196855566221804,0.018026512147758703,0.018026512147758703,0.18863171048890337
threshold_sensitivity,7006,10,joint_dirichlet_0.3,moderate,B3,1,updated,2,8,0.2,0.7593370165745856,0.4635628577104896,0.007716020497023404,0.00447072486934369,0.00447072486934369,0.192884245654098
threshold_sensitivity,7006,10,joint_dirichlet_0.3,moderate,B3,2,updated,2,8,0.2,0.7597790055248619,0.46533008836061157,0.008370256676284117,0.006556230604484459,0.006556230604484459,0.19223000947483726
threshold_sensitivity,7006,10,joint_dirichlet_0.3,moderate,B3,3,updated,2,8,0.2,0.7611049723756906,0.4705981923047243,0.010332965214066256,0.01281274780990678,0.01281274780990678,0.19026730093705513
threshold_sensitivity,7006,10,joint_dirichlet_0.3,moderate,B3,4,updated,2,8,0.2,0.7615469613259669,0.4723431273218507,0.010987201393326968,0.014898253545047549,0.014898253545047549,0.1896130647577945
