scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,client_id,malicious_client,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,2,False,605,152,True,True,0.9078947368421053,0.47586206896551725,0.007042253521126761,0.0,0.007352941176470588,0.6507042253521127,,0.9097919974010438
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,3,False,1432,358,True,False,0.9441340782122905,0.5310453235525282,,,,,"comparison_groups,subgroup_accuracy_gap",1.1029999877791852
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,4,True,1224,307,True,False,0.4788273615635179,0.3444373265001067,0.023255813953488372,0.024539877300613498,0.024539877300613498,0.9170111972437553,,1.1142920120619237
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,5,False,1093,274,False,False,,,,,,,,0.02308297553099692
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,6,False,8685,2172,True,True,0.7228360957642725,0.6751734006399428,0.17161890663000953,,,0.24180260893806416,"equal_opportunity_gap,equalized_odds_gap",3.372750012204051
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,7,False,169,43,True,False,0.813953488372093,0.8138528138528138,0.68,,,0.31999999999999995,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.7265830063261092
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.7152920006774366
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,9,False,3320,830,True,True,0.8433734939759037,0.5453319624466956,0.02580697683884886,0.10218978102189781,0.10218978102189781,0.292029377387785,,1.658875000430271
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,0,True,2882,721,True,True,0.9625520110957004,0.49045936395759715,0.0,0.0,0.0,0.0752382295780829,,1.691832992946729
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.9195419843308628
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,0.9133339917752892
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,3,False,1432,358,True,False,0.9413407821229051,0.4848920863309353,,,,,"comparison_groups,subgroup_accuracy_gap",1.2832499924115837
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,4,True,1224,307,True,False,0.8241042345276873,0.815307486631016,0.6391903531438415,0.024539877300613466,0.4568822553897181,0.2545650301464255,,1.0537909984122962
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,5,False,1093,274,False,False,,,,,,,,0.021915999241173267
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,6,False,8685,2172,True,True,0.7495395948434622,0.728847912054019,0.23913983869572325,,,0.17272438886058428,"equal_opportunity_gap,equalized_odds_gap",3.036042005987838
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,7,False,169,43,True,False,0.8837209302325582,0.873900293255132,0.7222222222222222,,,0.2777777777777778,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.6472500099334866
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.6532499974127859
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,9,False,3320,830,True,True,0.8337349397590361,0.46862996158770803,0.005012531328320802,0.014598540145985401,0.014598540145985401,0.3313853078171066,,1.63929199334234
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,2,0,True,2882,721,True,True,0.9625520110957004,0.49045936395759715,0.0,0.0,0.0,0.0752382295780829,,1.5282919921446592
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,2,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.8987080072984099
adversarial,10001,10,joint_dirichlet_0.3,submitted,sign_flip,B0,2,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,0.9066670027095824
