suite,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
adversarial,B6,equalized_odds_gap,5,0.028269599319442885,0.025867004826719577,0.0123634008148968,0.010745259906172,0.0511912465445975,0.009204575897766,0.0689532065500205,,,,random_weights
adversarial,B6,subgroup_accuracy_gap,5,0.16751642971261588,0.04223352863106778,0.1903346874625079,0.12873858292864876,0.19097650453256723,0.093478963249995,0.1917614446428464,,,,random_weights
adversarial,B6,runtime_ms,5,79.58420839859173,3.5213049577654867,80.95524998498149,76.83581680175848,82.33259999542497,75.66850000876002,82.69304101122543,,,,random_weights
adversarial,B0,accuracy,5,0.7714342629482072,0.025967247425043423,0.7829349269588314,0.7503851261620186,0.7906905710491368,0.7346613545816733,0.7958831341301461,,,,sign_flip
adversarial,B0,macro_f1,5,0.5842530157740728,0.10168453459266245,0.593504571626125,0.5013419217459845,0.6628785037866969,0.4299772899318698,0.7091277918937449,,,,sign_flip
adversarial,B0,demographic_parity_gap,5,0.1267738957455668,0.1854231417285013,0.0590781821091144,0.02555375527877788,0.2950556596175845,0.0,0.4550497068224316,,,,sign_flip
adversarial,B0,equal_opportunity_gap,5,0.11085864629786286,0.12971136770421002,0.073840531322348,0.02977692298464968,0.2304535855518889,0.0,0.3359076137962392,,,,sign_flip
adversarial,B0,equalized_odds_gap,5,0.11615552889952907,0.14122842716442993,0.073840531322348,0.02977692298464968,0.24610352290117712,0.0,0.3623920268045703,,,,sign_flip
adversarial,B0,subgroup_accuracy_gap,5,0.1750759780744729,0.02421537844627988,0.1656800537893895,0.156465168616092,0.19392359548506283,0.1500876661217693,0.2050029034820542,,,,sign_flip
adversarial,B0,runtime_ms,5,79.52514179632999,2.4536040192555713,80.57762499083765,77.6285917905625,81.42169180209748,76.58016699133441,81.73700000043027,,,,sign_flip
adversarial,B6,accuracy,5,0.767636122177955,0.010312771214604641,0.7627490039840638,0.7598804780876494,0.7760690571049137,0.7580345285524568,0.7814741035856574,,,,sign_flip
adversarial,B6,macro_f1,5,0.5252131590722435,0.11443506612738855,0.4673782229816423,0.45465734051345474,0.6283561504109386,0.4458000865736654,0.7201236664471342,,,,sign_flip
adversarial,B6,demographic_parity_gap,5,0.03563186796268668,0.04814455900893078,0.0094564511892962,0.00682736819837332,0.07952918276784147,0.0046125938125392,0.1183353131519081,,,,sign_flip
adversarial,B6,equal_opportunity_gap,5,0.018942210640498842,0.014788926391568103,0.0121589054585979,0.01080443789196126,0.032205847995974056,0.0094547685403886,0.0449769828480948,,,,sign_flip
adversarial,B6,equalized_odds_gap,5,0.02281678856197462,0.016477499877025542,0.0121589054585979,0.01080443789196126,0.036484846901415235,0.0094547685403886,0.0449769828480948,,,,sign_flip
adversarial,B6,subgroup_accuracy_gap,5,0.16319172283050792,0.05297862315364497,0.1886915105931811,0.11503428804792629,0.19053218321650764,0.0690637973910525,0.1917614446428464,,,,sign_flip
adversarial,B6,runtime_ms,5,79.64927499415353,3.3422000579471343,78.64629098912701,77.0875749993138,82.29635859024711,75.97587499185465,83.92879198072478,,,,sign_flip
